node_name,node_type,node_position,parent,weight
ephraimbuddy,developer,-618.8881849697627|-43.150536179757324|1471.4388034291653,apache/airflow,46.53
o-nikolas,developer,-835.7490675986039|23.27576527872884|984.9903146539898,apache/airflow,45.95
amoghrajesh,developer,-749.6275159118587|273.03579915225333|925.0715325759929,apache/airflow,45.93
phanikumv,developer,-581.3390108483212|-192.51818616898788|1100.1458138517671,apache/airflow,45.45
utkarsharma2,developer,-674.2711913293884|-113.1328404990245|1150.2700612268766,apache/airflow,43.5
Adaverse,developer,-353.94877309653407|-143.20894472732874|984.6268496832623,apache/airflow,43.23
syedahsn,developer,-737.0601689032083|19.81028093210631|987.6270726416692,apache/airflow,39.61
Lee-W,developer,-908.4587939092967|-192.02117727598477|1224.0262611583846,apache/airflow,39.55
pankajastro,developer,-710.6686560891458|14.917309028433095|1353.9511022464321,apache/airflow,35.21
mobuchowski,developer,-702.2846851758434|-104.54335125531435|985.9592405130838,apache/airflow,27.78
pierrejeambrun,developer,-877.7920210225886|22.431772490491625|1519.3929542808442,apache/airflow,27.71
bbovenzi,developer,-559.792388263088|245.89200978702712|1211.9312396813152,apache/airflow,26.99
sunank200,developer,-378.1247794418649|82.0492472843327|1140.47456015001,apache/airflow,26.39
JDarDagran,developer,-556.416827423076|-104.67898659748903|1374.2027779679936,apache/airflow,24.29
jens-scheffler-bosch,developer,-856.6979848020985|169.81660130004184|1237.1713845762627,apache/airflow,23.47
VladaZakharova,developer,-695.0012394886695|-187.77079276182513|1451.9429518392185,apache/airflow,19.42
moiseenkov,developer,-577.7944156185795|256.21029929549746|1130.7157768522313,apache/airflow,18.65
tirkarthi,developer,-334.3974483106264|367.26130504595335|980.904885909377,apache/airflow,18.64
shahar1,developer,-485.22962597059063|304.5995506571529|1406.1434678136168,apache/airflow,18.42
Owen-CH-Leung,developer,-763.1522248118644|285.68136425306045|949.101905271747,apache/airflow,17.98
apache/avro,repo,981.1139525141098|47.442045911000605|233.03606844519413,,13.9
martin-g,developer,1045.492040670341|-124.1187614867606|118.75190159586703,apache/avro,20.3
clesaec,developer,1171.5373471949476|-39.64442694306854|481.1205665456155,apache/avro,14.72
kojiromike,developer,1075.3684596917133|-244.35449999325124|-37.97741938273265,apache/avro,12.61
ftelnov,developer,1213.0745916958178|200.9515504721544|478.07765129521977,apache/avro,10.31
RyanSkraba,developer,1055.6989653306932|-67.86426197051316|441.4511096176583,apache/avro,9.88
alexrosenfeld10,developer,947.0279603561085|-79.44178923567483|230.30908696362644,apache/avro,9.07
jychen7,developer,700.2468361196386|186.35287523416383|162.20486686126213,apache/avro,6.48
sarutak,developer,1087.5069403703264|-137.3712072999136|519.9635757303879,apache/avro,6.48
jklamer,developer,746.431257864077|20.31098267441928|117.78108488526425,apache/avro,5.86
aiven-anton,developer,727.9875554086296|-207.38153386862163|446.7198544035049,apache/avro,4.58
subhashb,developer,1097.6006008246297|15.1007172600942|461.3720157307505,apache/avro,4.58
mparry,developer,811.1564084352262|61.2528379604322|-2.523920331026943,apache/avro,4.24
RikHeijdens,developer,897.1596066643356|-135.18849332527796|458.3470483970426,apache/avro,4.24
dervan,developer,969.9765712790261|-47.82082082670644|255.3659737823677,apache/avro,3.74
nryanov,developer,1016.1563090271297|-153.63506097241861|445.1742999451202,apache/avro,3.61
zcsizmadia,developer,741.8793032253488|-17.855842800176703|447.693353255264,apache/avro,3.46
opwvhk,developer,1213.3792587200728|109.97015306550963|21.602018359213048,apache/avro,3.32
peter-formlogic,developer,922.8580285279793|-3.2695073217336414|255.33098718885816,apache/avro,3.16
nielsbasjes,developer,789.2139550615913|31.196979223554422|70.00242728524955,apache/avro,3
peknu,developer,767.222820826064|101.21644846840769|-28.856935616965757,apache/avro,2.83
steven-aerts,developer,1023.7938947262728|72.20979753449751|-16.5495458054736,apache/avro,2.83
tjwp,developer,1067.8893123477105|-64.28146159887629|53.23537716795943,apache/avro,2.83
andrewinci,developer,792.247371087976|-56.919165975911255|348.76628363562804,apache/avro,2.65
akshat0395,developer,1186.126736928961|251.18006384355436|-22.22841954095452,apache/avro,2.41
snuyanzin,developer,1193.2974788851739|-144.0009382975275|499.5923264276191,apache/avro,2.41
asosnovsky,developer,1104.2011775165602|-177.12874613267883|141.0189770646908,apache/avro,2.24
xuwenlong02,developer,1014.5466446423068|339.77859125755356|461.8935817959914,apache/avro,2
edoardocostantinidev,developer,746.667493466733|125.66546260834508|364.9271870455571,apache/avro,2
MarkPaxton,developer,1051.4496192551749|-229.23584479270698|312.3596277045979,apache/avro,2
piotaixr,developer,1267.7767093296923|212.48142825674228|94.37102232068051,apache/avro,1.73
apache/camel,repo,742.3197611499932|539.4329723717162|609.0653497814819,,47.23
orpiske,developer,850.7532217196656|569.8646825099742|809.6447539782989,apache/camel,53.25
davsclaus,developer,1029.2110994774944|283.2225158797381|323.0488160329259,apache/camel,44.51
essobedo,developer,586.0383211913086|682.3550497987079|391.39059639875296,apache/camel,39.26
oscerd,developer,882.4904866708355|352.20234724734166|861.1864892120155,apache/camel,37.89
ppalaga,developer,737.6328397281096|480.1804020467806|500.8886607646008,apache/camel,23.66
ammachado,developer,812.2065306627218|824.1663826490017|414.3076130589666,apache/camel,13.4
jamesnetherton,developer,470.76036534063695|549.1507694886152|677.0395033006662,apache/camel,13.09
Croway,developer,962.7496324935037|344.50138421509945|544.5104241853935,apache/camel,11.55
onderson,developer,689.1539336940228|512.1292195002738|841.5007775730586,apache/camel,9.64
coheigea,developer,874.0958785668035|559.5704577894223|378.0006210704287,apache/camel,9.27
EvanMi,developer,757.4544165415405|318.4305454475337|667.2834206400059,apache/camel,9.22
hamed-hatami,developer,786.4919922268855|682.73605104595|354.16474997896466,apache/camel,9.11
gilvansfilho,developer,694.9277569925622|460.3221158476117|563.1528948450857,apache/camel,8.85
JiriOndrusek,developer,894.4056209784928|266.9622245295324|891.1266472412303,apache/camel,8.69
christophd,developer,1010.7535672281455|711.941590654688|483.43442273755113,apache/camel,6.31
sekikn,developer,968.3736507416232|586.5501421612589|495.5451234612175,apache/camel,8.29
